Month-Year,total_profit,total_sales,profit_margin_pct
Apr-2015,108083.679956629,912004.400261305,11.85
Apr-2016,114976.619906938,900492.919909295,12.77
Apr-2017,115961.06019266699,932318.20057466,12.44
Aug-2015,117979.770301531,925192.870535762,12.75
Aug-2016,110729.540117032,942408.940467754,11.75
Aug-2017,131501.160211149,996507.88074761,13.2
Dec-2015,110641.549880989,950526.920552301,11.64
Dec-2016,105002.68993700799,932112.890084133,11.27
Dec-2017,65837.629744941,452741.530874991,14.54
Feb-2015,99140.660195881,833012.429253123,11.9
Feb-2016,86809.490641663,870116.749786724,9.98
Feb-2017,115111.070097214,891924.289692601,12.91
Jan-2015,111660.740131745,945382.1605344249,11.81
Jan-2016,106780.950228697,940283.630375412,11.36
Jan-2017,114843.850276999,925472.619840525,12.41
Jan-2018,33841.889977086,297952.050994565,11.36
Jul-2015,115624.059878668,932936.790226654,12.39
Jul-2016,119941.720183092,939216.40059965,12.77
Jul-2017,113026.700038081,992423.43050275,11.39
Jun-2015,110147.160313142,920242.060275583,11.97
Jun-2016,104196.070108119,901448.010186072,11.56
Jun-2017,110399.290304686,927445.97016683,11.9
Mar-2015,113778.210191127,944050.110472353,12.05
Mar-2016,101259.99024981,921487.730559933,10.99
Mar-2017,118688.90021145,942290.430651583,12.6
May-2015,112147.900143277,943939.76995613,11.88
May-2016,110716.120111335,924978.220743864,11.97
May-2017,115014.64001427,993199.05077958,11.58
Nov-2015,104427.360119529,924602.570546607,11.29
Nov-2016,109539.199962309,941197.3609678299,11.64
Nov-2017,67791.250204682,563393.47010096,12.03
Oct-2015,101757.87003983899,943131.10021303,10.79
Oct-2016,116781.970048187,941882.280194664,12.4
Oct-2017,113447.169882532,966081.409769428,11.74
Sep-2015,113467.940118142,914522.370143404,12.41
Sep-2016,123384.709977059,900371.629961594,13.7
Sep-2017,122462.390152852,1027111.72871293,11.92
