Month-Year,total_revenue,total_quantity
Apr-2015,912004.400261305,11287
Apr-2016,900492.919909295,11208
Apr-2017,932318.20057466,11189
Aug-2015,925192.870535762,11612
Aug-2016,942408.940467754,11683
Aug-2017,996507.88074761,11095
Dec-2015,950526.920552301,11790
Dec-2016,932112.890084133,11774
Dec-2017,452741.530874991,2124
Feb-2015,833012.429253123,10438
Feb-2016,870116.749786724,10765
Feb-2017,891924.289692601,11070
Jan-2015,945382.1605344249,11854
Jan-2016,940283.630375412,11597
Jan-2017,925472.619840525,11605
Jan-2018,297952.050994565,2123
Jul-2015,932936.790226654,11800
Jul-2016,939216.40059965,11652
Jul-2017,992423.43050275,11091
Jun-2015,920242.060275583,11203
Jun-2016,901448.010186072,11008
Jun-2017,927445.97016683,10194
Mar-2015,944050.110472353,12062
Mar-2016,921487.730559933,11349
Mar-2017,942290.430651583,11676
May-2015,943939.76995613,11902
May-2016,924978.220743864,11603
May-2017,993199.05077958,11033
Nov-2015,924602.570546607,11463
Nov-2016,941197.3609678299,11493
Nov-2017,563393.47010096,2055
Oct-2015,943131.10021303,11703
Oct-2016,941882.280194664,11936
Oct-2017,966081.409769428,2490
Sep-2015,914522.370143404,11366
Sep-2016,900371.629961594,11284
Sep-2017,1027111.72871293,10502
