Sub-Category,Profit,Sales,profit_margin_pct
Labels,2571.7938,5770.804,44.57
Paper,13174.6211,30294.068,43.49
Envelopes,2494.9859,5972.36,41.78
Copiers,22444.6833,58539.082,38.34
Fasteners,328.0706,1259.172,26.05
Accessories,17797.6428,70981.246,25.07
Art,2930.7657,12730.606,23.02
Phones,16345.1075,125326.604,13.04
Appliances,4187.9196,38574.487,10.86
Furnishings,3707.2282,34617.076,10.71
Storage,8961.9798,84906.302,10.56
Chairs,12106.2254,124914.961,9.69
Machines,6722.9160999999995,83658.196,8.04
Binders,2649.4397,66415.346,3.99
Bookcases,-1322.9912,41278.8721,-3.21
Tables,-5545.5319,88925.3715,-6.24
Supplies,-946.5691,13056.922,-7.25
